title,description,directions
"TITLE:  MEXICAN WEDDING 
BREAKFAST COCKTAIL","DESCRIPTION: Goes  well  with  huevos  rancheros  and  a  blushing  bridal
afterglow.

1 1/2 ounces sherry 
1 egg
1 teaspoon powdered sugar
Drop of Tabasco sauce or dash of cayenne pepper","DIRECTIONS:  Fill  cocktail  shaker  with  sherry, egg, powdered

sugar, and Tabasco sauce or cayenne pepper.

 Shake.
 Strain into a cocktail glass."
TITLE:  PEACH MIMOSA,"DESCRIPTION: A sweet twist on the classic brunch favorite.

1 ounce peach schnapps
Orange juice
Champagne","DIRECTIONS:  Pour peach schnapps into a champagne flute.
 Add enough orange juice to fill half of the glass.
 Top with champagne."
TITLE:  PEACH BELLINI,"DESCRIPTION: A favorite of the most discerning June brides.

1 peeled and pitted peach
Champagne","DIRECTIONS:  Puree peach and place in a champagne flute.
 Add champagne."
"TITLE:  TWIST OF A 

SCREWDRIVER","DESCRIPTION: Everybody wants a turn.

3 1/2 cups orange juice 
4 ounces vodka
2 teaspoons lemon juice
2 teaspoons triple sec","DIRECTIONS:  Combine all ingredients in a pitcher.
 Stir.
 Chill in refrigerator.
 Pour into highball glasses with ice.
 Garnish with orange slices.
(Serves 4)"
TITLE:  PERFECT PEACH JULEP,"DESCRIPTION: Even more Southern than the mint julep—if that’s possible.

1 medium fresh chilled peach
2 ounces bourbon
Crushed ice
Mint sprigs ","DIRECTIONS:  Peel, pit, and slice peach.
 Puree the peach in a blender.
 Add sugar and process.
 Stir in bourbon.
 Pour over crushed ice in silver julep cup.
 Garnish with mint springs."
TITLE:  BAY BREEZE,"DESCRIPTION: A nice compliment to lazy mornings on the Outer Banks.

1 ounce vodka
Splash of pineapple juice
Splash of cranberry juice","DIRECTIONS:  Pour vodka into a highball glass with ice.
 Splash with juices."
TITLE:  SEA BREEZE,"DESCRIPTION: Drink while watching America’s Cup. Wish for a sailboat
of your own.

1 1/2 ounces gin 
3/4 ounce apricot flavored brandy
1/4 ounce grenadine
1 ounce lemon juice
Club soda
Mint sprigs ","DIRECTIONS:  Build gin, brandy, grenadine, and lemon juice in a

highball glass.

 Add ice.
 Fill with club soda.
 Add mint sprigs."
TITLE:  CAPE COD,"DESCRIPTION: Conjures up morning memories from Martha’s Vineyard.
Even if you’ve never visited.

1 1/2 ounces vodka 
1/2 ounce lime juice 
1 ounce cranberry juice
1/2 teaspoon sugar ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, juices, and sugar.
 Shake.
 Strain into cocktail glass."
TITLE:  BLOODY MARIA,"DESCRIPTION: Ay Caramba! Tequila in the morning! 

1 1/2 ounces tequila
2 dashes Worcestershire sauce
Sprinkle of salt
Sprinkle of pepper
Sprinkle of celery salt
Tomato juice","DIRECTIONS:  Build tequila and Worcestershire sauce in a double

old-fashioned glass.

 Sprinkle salt, pepper, and celery salt.
 Fill with tomato juice and ice."
TITLE:  AZALEA COCKTAIL,"DESCRIPTION: Sip while swinging on a plantation veranda amidst a col-
orful burst of bloom.

3/4 ounce lime juice
3/4 ounce pineapple juice
2 1/4 ounces gin
4 dashes grenadine","DIRECTIONS:  Fill cocktail shaker with ice.
 Add juices, gin, and grenadine.
 Shake.
 Strain into a cocktail glass.

(This  drink  can  be  made  frothier  by  adding  1  1/2
ounces  heavy  whipping  cream. If  adding  heavy
whipping cream, use a goblet as glassware.)"
TITLE:  RAMOS GIN FIZZ,"DESCRIPTION: Fun fact: Whenever legendary Louisiana governor Huey P.
Long  traveled  to  New  York  City, he  took  his  own  New
Orleans bartender so he could have this drink made right.

1 1/2 ounces gin 
2 tablespoons cream
1/2 ounce lemon juice 
1 egg white
1 tablespoon powdered sugar
3 to 4 drops of orange flower water
1/2 ounce lime juice 
1/4 ounce club soda","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, cream, lemon juice, egg white, powdered

sugar, orange flower water, and lime juice.

 Shake.
 Strain into a goblet.
 Top with chilled club soda."
TITLE:  CLAMDIGGER,"DESCRIPTION: Put on your short pants and grab the shovel and pail! 

1 1/2 ounces vodka 
3 ounces clam juice
3 ounces tomato juice
Dash of Tabasco sauce
Dash of Worcestershire sauce
Salt and pepper to taste","DIRECTIONS:  Fill a highball glass with ice.
 Pour in all ingredients.
 Stir.
 Garnish with a lime slice."
TITLE:  SUMMER RAIN,"DESCRIPTION: As refreshing as a surprise downpour in August.

3 ounces cranberry liqueur
Apple juice
Lime wedge","DIRECTIONS:  Pour cranberry liqueur into a highball glass half-filled with ice.

 Top with apple juice.
 Add a squeeze of lime.
 Stir.
 Garnish with a lime slice."
TITLE:  SUNRISE MIMOSA,"DESCRIPTION: A reward for getting up earlier than the other guests.

1 tablespoon apricot nectar
1 tablespoon orange juice
2 ounces champagne","DIRECTIONS:  Pour apricot nectar and orange juice into a cham-pagne flute.

 Slowly add champagne.
 Garnish with an orange slice or two raspberries."
"TITLE:  CHAMPAGNE 

LEMON GRANITA","DESCRIPTION: Sinfully slushy and utterly satisfying. No way to go wrong
with this tangy one.

4 scoops lemon sorbet
2 ounces citrus vodka
2 ounces champagne","DIRECTIONS:  Put lemon sorbet into a blender.
 Blend on low speed, slowly adding vodka.
 Add champagne.
 Pour into chilled highball glasses.
 Garnish with fresh mint."
TITLE:  RUSSIAN BRUNCH,"DESCRIPTION: Try this one with a side of borscht. Or not.

8 ounces vodka
12 ounces orange juice 
8 ounces champagne","DIRECTIONS:  Pour vodka and orange juice into a blender with

ice.

 Pour into a large pitcher.
 Add champagne.
 Stir.
 Pour into goblets.
(Serves 4)"
TITLE:  COUNTRY CLUB COOLER,"DESCRIPTION: No membership dues required. Drink up! It’s an open tab.

1/2 teaspoon grenadine 
2 ounces club soda
2 ounces dry vermouth
Ginger ale","DIRECTIONS:  Pour grenadine and club soda into a highball

glass.

 Stir.
 Fill glass with cracked ice.
 Add dry vermouth.
 Fill with ginger ale.
 Garnish with lemon and orange peel spirals."
TITLE:  PINEAPPLE COOLER,"DESCRIPTION: Tiiiiiiny bubbles…in the wiiiine… 

2 ounces pineapple juice
1/2 teaspoon powdered sugar 
2 ounces club soda
2 ounces dry white wine
Ginger ale","DIRECTIONS:  Pour pineapple juice, powdered sugar, and club

soda in a highball glass.

 Stir.
 Fill glass with cracked ice.
 Add white wine.
 Fill with ginger ale.
 Garnish with lemon and orange peel spirals or

pineapple chunks."
TITLE:  PASSION FRUIT COOLER,"DESCRIPTION: Everybody needs a little passion. Passion fruit cooler, that
is.

1 ounce orange juice
1/2 ounce lemon juice
1/2 ounce gin 
1 1/2 ounces light rum 
3 ounces passion fruit nectar","DIRECTIONS:  Fill cocktail shaker with ice.
 Add juices, gin, rum, and passion fruit nectar.
 Shake.
 Strain into a highball glass with ice."
TITLE:  BRUNCH PUNCH,"DESCRIPTION: If  Mike  and  Carol  served  this, it  would  be  called  Brady
Bunch Brunch Punch.

3 quarts chilled tomato juice
1 liter light or dark rum
2 1/2 teaspoons Worcestershire sauce
5 ounces lemon or lime juice
Salt and pepper to taste","DIRECTIONS:  Combine all ingredients into a large pitcher.
 Stir.
 Pour into a punch bowl with a block of ice.
 Garnish with thinly sliced lemons and limes.
(Serves 40)"
TITLE:  APRICOT FIZZ,"DESCRIPTION: A sugary kick-start to chase away lingering drowsiness.

1 ounce lemon juice
3/4 ounce lime juice
1 teaspoon sugar
1 1/2 ounces apricot flavored brandy
Club soda","DIRECTIONS:  Build ingredients in a highball glass.
 Fill with ice.
 Top with club soda."
TITLE:  FRAISE FIZZ,"DESCRIPTION: Start  the  morning  off  right  with  a  confectionery  straw-
berry and lemon combo.

1 1/2 ounces gin
1 ounce fraise liqueur
1/2 ounce fresh lemon juice
1 teaspoon sugar
Club soda","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, fraise liqueur, lemon juice, and sugar.
 Shake.
 Strain into a highball glass.
 Fill with ice.
 Top with soda.
 Garnish with a lemon twist and a strawberry."
TITLE:  GRAND ROYALE FIZZ,"DESCRIPTION: Fit for a French king…or those still in their pajamas.

1/2 ounce orange juice
1 ounce lime juice
1 teaspoon sugar
2 ounces gin
1/4 ounce maraschino liqueur
1/2 ounce cream
Club soda","DIRECTIONS:  Fill cocktail shaker with ice.
 Add orange juice, lime juice, sugar, gin, maraschino

liqueur, and cream.

 Shake.
 Strain into a highball glass.
 Fill with ice and club soda."
TITLE:  APRICOT CREAM SPRITZ,"DESCRIPTION: A great change of pace for the adventurous brunch crowd.

6 ounces milk
4 ounces apricot nectar
2 tablespoons apricot flavored brandy
Sparkling wine","DIRECTIONS:  Fill chilled cocktail shaker with milk, apricot nec-tar, and apricot flavored brandy.

 Stir until smooth.
 Pour into 6 red wine glasses.
 Add equal amounts of wine into each glass.
(Serves 6)"
TITLE:  FROSTY SOUR,"DESCRIPTION: Pleasantly cold and invigorating, yet quickly warms your
guests.

12-ounce can frounceen lemonade concentrate
1 tablespoon frounceen orange juice concentrate
6 ounces bourbon
12 ounces crushed ice","DIRECTIONS:  Put lemonade and orange juice concentrate,

bourbon, and ice in a blender.

 Blend until liquefied.
 Strain into sour glasses.
 Garnish with orange slices and cherries.
(Serves 8)"
TITLE:  MANGO COOLER,"DESCRIPTION: Step 1. Get up. Step 2. Have these for brunch. Step 3. Race
each other back to the bedroom. An aphrodisiac delight.

1 1/2 ounces vodka
1 1/2 ounces orange juice
1/2 ounce lemon juice
1/2 ounce Cointreau
3 ounces mango nectar","DIRECTIONS:  Build ingredients in a highball glass.
 Fill glass with ice.
 Garnish with a mango slice."
TITLE:  OJEN FRAPPE,"DESCRIPTION: Lean  on  Ojen, a  sweet  anise-flavored  liqueur, to  get  the
morning going.

1 ounce Ojen
1/3 ounce sugar syrup","DIRECTIONS:  Fill cocktail shaker with ice.
 Add Ojen and sugar syrup.
 Shake.
 Pour into a highball glass."
TITLE:  OJEN COCKTAIL,"DESCRIPTION: A popular  choice  for  New  Orleans  carnival  revelers  who
need a pick-me-up to keep catching the beads.

2 1/2 ounces Ojen
2 dashes Peychaud bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add Ojen and bitters.
 Stir.
 Strain into cocktail glass."
TITLE:  ABSINTHE FRAPPE,"DESCRIPTION: Some say absinthe is the devil’s tool. Lord, don’t let it be
so.

1/3 ounce sugar syrup
1 1/2 ounces Pernod","DIRECTIONS:  Pour sugar syrup and Pernod into a chilled high-ball glass with crushed ice.

 Stir vigorously until frost appears on sides of glass.

 AMBASSADOR’S 

MORNING LIFT

Even more effective than the embassy’s elevator.

32 ounces prepared dairy eggnog
6 ounces cognac
3 ounces Jamaican rum
3 ounces crème de cacao

 Pour all ingredients into a punch bowl.
 Stir.
 Dust each serving with nutmeg.
(Serves 10–12)"
TITLE:  MORNING CALL COCKTAIL,"DESCRIPTION: Sip  gently  while  reliving—or  forgetting—the  previous
night’s antics.

1 ounce pastis
3/4 ounce fresh lemon juice
3/4 ounce maraschino liqueur","DIRECTIONS:  Fill cocktail shaker with ice.
 Add pastis, lemon juice, and maraschino liqueur.
 Shake.
 Strain into a cocktail glass."
TITLE:  PERNOD CLASSIQUE,"DESCRIPTION: The absinthe breakfast of champions.

1 ounce Pernod
5 ounces water
2 ice cubes","DIRECTIONS:  Pour the Pernod in a tall glass.
 Add the water and ice cubes.
 Stir."
TITLE:  ICED DANISH MARY,"DESCRIPTION: An  alternative  to  the  classic  Bloody  Mary. Guests  will
surely want to know the secret ingredient.

1 1/2 ounces aquavit
Bloody Mary mix (store-bought or freshly mixed; see
below.) ","DIRECTIONS:  Pour aquavit into a double old-fashioned glass

with ice.

 Add Bloody Mary mix."
TITLE:  BLOODY MARY MIX,"DESCRIPTION: You can buy something similar in a can, but why not be a
domestic diva and make it from scratch?

2 46-ounce cans tomato juice or V-8 juice*
1 teaspoon coarsely-ground fresh black pepper
1 teaspoon celery salt
4 ounces lemon juice
1 5-ounce bottle Worcestershire sauce
Tabasco sauce to taste (for heat)
Salt to taste","DIRECTIONS:  Mix all ingredients thoroughly in a pitcher.
 Refrigerate.

* If you like it hot, use spicy V-"
TITLE:  MADRAS,"DESCRIPTION: The quintessential preppy potable. Biff and Muffy can’t get
enough of these.

1 1/2 ounces vodka
4 ounces cranberry juice
1 ounce orange juice","DIRECTIONS:  Pour vodka and juices into a highball glass with

ice.

 Garnish with a lime wedge."
TITLE:  BREAKFAST COCKTAIL,"DESCRIPTION: Sneak in a flask of this and even IHOP is bearable.

2 ounces gin
1/2 ounce grenadine
1 egg white","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, grenadine, and egg white.
 Shake.
 Strain into a chilled cocktail glass."
TITLE:  BREAKFAST EGGNOG,"DESCRIPTION: Most people don’t drink eggnog other than at Christmas.
But they should. An eye-opener for any day of winter.

1 egg
2 ounces brandy
1/2 ounce orange curacao
3 ounces milk","DIRECTIONS:  Fill cocktail shaker with ice.
 Add egg, brandy, curacao, and milk.
 Shake.
 Strain into a tumbler or goblet.
 Dust with nutmeg."
TITLE:  GOOD MORNING FIZZ,"DESCRIPTION: Prepares you to face even the most annoyingly perky Susie
Sunshines.

1 ounce lemon juice
1 teaspoon sugar
2 ounces gin
1/2 ounce anisette
1 egg white","DIRECTIONS:  Fill cocktail shaker with ice.
 Add lemon juice, sugar, gin, anisette, and egg

white.
 Shake.
 Strain into a highball glass.
 Fill with ice and soda."
TITLE:  ROSE IN JUNE FIZZ,"DESCRIPTION: The bride may choose a colorful bouquet of fresh-cut flow-
ers. But what she really wants is one of these.

1 1/2 ounces gin
1 ounce framboise liqueur
1 1/2 ounces orange juice
1 ounce fresh lime juice","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, framboise liqueur, and juices.
 Shake.
 Strain into a highball glass.
 Fill with ice and soda."
TITLE:  SHERRY FLIP,"DESCRIPTION: A drink  that  is  perfect  for  winter  brunches  in  mountain
cabins when five feet of snow covers the ground. Blazing
fire, optional.

1 egg
1 teaspoon sugar
1 1/2 ounces sherry
1/2 ounce cream (optional)
1/4 ounce light crème de cacao (optional)","DIRECTIONS:  Fill cocktail shaker with ice.
 Add egg, sugar, sherry and optional ingredients, if

desired.

 Shake.
 Strain into a cocktail glass."
TITLE:  BIRD OF PARADISE FIZZ,"DESCRIPTION: This bird of paradise will send you flying.

1 1/2 ounces gin
1/2 ounce lemon juice
1/2 ounce blackberry brandy
1/2 ounce sugar syrup
1 egg white
4 ounces club soda","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, lemon juice, blackberry brandy, sugar

syrup, and egg white.

 Shake.
 Strain into highball glass.
 Fill with club soda and ice."
"TITLE:  SPARKLING STRAWBERRY

MIMOSA","DESCRIPTION: Don’t dare serve these without a heaping helping of French
toast topped with whipped honey butter.

2 ounces orange juice
2 ounces strawberries
1/2 ounce strawberry syrup
4 ounces champagne","DIRECTIONS:  Blend orange juice, strawberries, and strawberry

syrup in a blender until smooth.

 Pour into a cocktail glass.
 Top with champagne.
 Garnish with a strawberry and an orange slice."
TITLE:  BREAKFAST MARTINI,"DESCRIPTION: The high-roller’s breakfast drink of choice before he heads
back to the table.

1 1/2 ounces gin
3/4 ounce lemon juice
3/4 ounce Cointreau
1 teaspoon light marmalade","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, lemon juice, Cointreau, and light mar-malade.

 Shake.
 Strain into a chilled martini glass."
TITLE:  CHAMPAGNE BLUES,"DESCRIPTION: I got  the  champagne  blues…I  got  nothin’  left  to  lose…I
need some more boouncee.

1/5 blue curacao
8 ounces lemon juice
4/5 dry champagne
Peel of two lemons","DIRECTIONS:  Chill all ingredients.
 Pour curacao and lemon juice into a punch bowl

(with no ice).

 Stir.
 Add champagne.
 Stir gently.
 Float lemon peels in the bowl.
(Serves 25)"
"TITLE:  CHAMPAGNE PUNCH

WITH KIRSCH","DESCRIPTION: For  wedding  parties  that  strive  for  just  a  hint  above
ordinary.

4 fifths iced brut champagne
5 ounces iced Kirsch liqueur
5 ounces cream sherry
4 ounces iced lemon juice
16 ounces iced orange juice","DIRECTIONS:  Pour all ingredients into a chilled champagne

bowl.

 Stir.
(Serves 25)"
"TITLE:  CHAMPAGNE DU

MARCO","DESCRIPTION: Perfect for the decadent second marriage.

1 ounce vanilla ice cream
2 dashes maraschino liqueur
4 dashes orange curacao
2 dashes cognac
Champagne","DIRECTIONS:  Pour  ingredients  into  chilled  deep-saucer  cham-pagne glass.

 Fill with champagne.
 Garnish with fruits in season."
TITLE:  CHAMPAGNE FLIP,"DESCRIPTION: The mother-of-the-bride sips this while the bride is getting
dressed. The mother of the groom downs two.

1 egg yolk
1/2 teaspoon sugar
3 ounces champagne
1/4 ounce brandy","DIRECTIONS:  Fill cocktail shaker with ice.
 Add egg yolk, sugar, and champagne.
 Shake.
 Strain into a cocktail glass.
 Float brandy on top."
TITLE:  SANGRIA ESPECIALE,"DESCRIPTION: When normal sangria just won’t do.

2/5 red wine
1/5 champagne
4 ounces gin
4 ounces cognac
Sugar to taste
Juice of 2 oranges
Juice of 2 lemons","DIRECTIONS:  Pour ingredients into a punch bowl.
 Stir.
 Add ice.
 Garnish with orange and lemon slices.
(Serves 12–15)"
"TITLE:  WHITE GRAPE, 

TANGERINE, AND
SPARKLING WINE PUNCH","DESCRIPTION: Guests expecting the same old champagne punch? No way.
Zig and keep them guessing.

48 ounces unsweetened white grape juice
6 ounces frounceen tangerine juice concentrate, thawed
8 ounces club soda
3 ounces brandy
2 ounces lemon juice
1/5 sweet sparkling wine
Thin slices of tangerine","DIRECTIONS:  Pour ingredients into a punch bowl over a block of

ice.
 Stir.
 Cover punch bowl and refrigerate until cold.
 Add sparkling wine prior to serving.
 Float tangerine slices.
(Serves 15–20)"
"TITLE:  CHAMPAGNE SHERBET

PUNCH","DESCRIPTION: The punch that has launched a thousand nuptials.

24 ounces chilled pineapple juice
2 ounces lemon juice
1 quart pineapple sherbet
1/5 chilled champagne","DIRECTIONS:  Pour juices into a punch bowl.
 Add sherbet just prior to serving.
 Add champagne.
 Stir.
(Serves 20)"
TITLE:  CHAMPAGNE PUNCH,"DESCRIPTION: Welcome Baby New Year with this bubbly brew.

Juice of 12 lemons
Powdered sugar
8 ounces maraschino liqueur
8 ounces triple sec
16 ounces brandy
2/5 chilled champagne
16 ounces club soda
16 ounces strong tea, optional","DIRECTIONS:  Add enough powdered sugar to sweeten lemon

juice in a small bowl.

 Pour mixture in punch bowl over ice.
 Stir.
 Add maraschino liqueur, triple sec, brandy, cham-pagne, club soda, and strong tea, if desired.

 Stir.
 Decorate with seasonal fruits.
(Serves 20–25) "
TITLE:  BACCIO PUNCH,"DESCRIPTION: This happy-go-lucky concoction will make the gods bow to
you.

16 ounces champagne
16 ounces grapefruit juice
16 ounces dry gin
4 ounces anisette
Sugar to taste
16 ounces mineral water","DIRECTIONS:  Pour ingredients into a punch bowl.
 Stir well.
 Surround bowl with ice cubes.
 Decorate with fruit.
 Serve in goblets.
 Garnish with several grapes.
(Serves 8)"
TITLE:  HOT GOLD,"DESCRIPTION: Now we know what kept the 49ers going during the Gold
Rush.

6 ounces warmed orange juice
3 ounces amaretto","DIRECTIONS:  Pour orange juice into a large mug.
 Add amaretto.
 Stir with a cinnamon stick."
TITLE:  COFFEE COOLER,"DESCRIPTION: This one is not on the Starbucks menu. But it can be on
yours.

1 1/2 ounces vodka
1 ounce cream
1 ounce coffee liqueur
1 teaspoon sugar
4 ounces cold black coffee
1 small scoop coffee ice cream","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, cream, coffee liqueur, sugar, coffee,

and coffee ice cream.

 Shake.
 Strain into a highball glass."
TITLE:  BULLDOG HIGHBALL,"DESCRIPTION: Arf! No need to save these for when you’re putting on the
dog.

1 1/4 ounces orange juice
2 ounces gin
Ginger ale","DIRECTIONS:  Build orange juice and gin in a highball glass with

ice.

 Fill with ginger ale."
TITLE:  GINGER FIZZ,"DESCRIPTION: You’ve got to think that the Gilligan’s Island starlet was
craving one of these after her first week on the island.

1 ounce lemon juice
1 teaspoon sugar
1 1/2 ounces gin
Ginger ale","DIRECTIONS:  Fill cocktail shaker with ice.
 Add lemon juice, sugar, and gin.
 Shake.
 Strain into a highball glass with ice.
 Fill with ginger ale."
TITLE:  MORNING FIZZ,"DESCRIPTION: For  the  rock  babe  who  needs  just  a  little  morning  glory
help from the bottle.

2 ounces blended whiskey
1/2 egg white
1/2 ounce lemon juice 
1 teaspoon sugar
1/2 teaspoon Pernod
Chilled club soda","DIRECTIONS:  Fill cocktail shaker with ice.
 Add whiskey, egg white, lemon juice, sugar, and

Pernod.
 Shake.
 Strain into a tall glass.
 Add splash of soda 
 Fill glass with ice.
 Stir."
TITLE:  ORANGE OASIS,DESCRIPTION: ,"DIRECTIONS:  Dissolve sugar in club soda in a collins glass.
 Add ice.
 Build lime juice, pastis, and gin.
 Fill with ginger ale.
 Garnish with lemon and orange spirals.

 ORANGE OASIS

No mirage here, thirsty traveler. Come on in, but leave the
camel outside.

1 1/2 ounces gin
1/2 ounce cherry liqueur
4 ounces orange juice
Ginger ale

 Build gin, cherry liqueur, and orange juice in a

collins glass with ice.

 Fill with ginger ale.
 Garnish with an orange slice."
TITLE:  STRAWBERRY SPARKLE,"DESCRIPTION: A sprinkle of pink cheer for the most carefree of occasions.

1 cup sliced fresh strawberries
2 ounces frounceen strawberry daiquiri fruit juice con-centrate, thawed

6 ounces chilled champagne
4 ounces chilled lemon-flavored sparkling water","DIRECTIONS:  Put fresh strawberries into a blender.
 Blend until smooth.
 Pour strawberry puree into a glass pitcher.
 Add juice concentrate.
 Stir well.
 Cover and refrigerate.
 Prior to serving, stir in champagne and sparkling

water.

 Pour into chilled champagne flutes.
 Garnish with fresh strawberries, if desired."
TITLE:  AFFAIR,DESCRIPTION: ,"DIRECTIONS:  Pour vodka, frounceen strawberries, cranberry juice,

and ice in a blender.
 Blend until smooth.
 Pour into a large goblet.
 Garnish with a whole strawberry and a mint sprig.

 AFFAIR

Definitely to remember.

2 ounces strawberry schnapps
2 ounces cranberry juice
2 ounces orange juice
Club soda (optional)

 Pour schnapps, cranberry juice, and orange juice in

a highball glass with ice.

 Stir.
 Top with club soda, if desired."
TITLE:  FROZEN MINT JULEP,"DESCRIPTION: Sultry summer days call for one of these. Make that two.

2 ounces bourbon
1 ounce lemon juice
1 ounce sugar syrup
6 mint leaves
6 ounces crushed ice","DIRECTIONS:  Muddle  bourbon, lemon  juice, sugar  syrup, and

mint leaves in a glass.

 Pour mixture and ice into a blender.
 Blend at high speed for 15 or 20 seconds.
 Pour into a chilled highball glass.
 Garnish with a mint sprig."
